Expression: ^\d+::([\w\s:,\.\(\)'\-\/!&ÁÉÍÓÚáéíóúäëïöü]+)\s(\(\d\d\d\d\))::.*$
Replace with: {title: $1, year: $2}

{title: Toy Story, year: (1995)}
{title: Jumanji, year: (1995)}
{title: Grumpier Old Men, year: (1995)}
{title: Waiting to Exhale, year: (1995)}
{title: Father of the Bride Part II, year: (1995)}
{title: Heat, year: (1995)}
{title: Sabrina, year: (1995)}
{title: Tom and Huck, year: (1995)}
{title: Sudden Death, year: (1995)}
{title: GoldenEye, year: (1995)}
{title: American President, The, year: (1995)}
{title: Dracula: Dead and Loving It, year: (1995)}
{title: Balto, year: (1995)}
{title: Nixon, year: (1995)}
{title: Cutthroat Island, year: (1995)}
{title: Casino, year: (1995)}
{title: Sense and Sensibility, year: (1995)}
{title: Four Rooms, year: (1995)}
{title: Ace Ventura: When Nature Calls, year: (1995)}
{title: Money Train, year: (1995)}
{title: Get Shorty, year: (1995)}
{title: Copycat, year: (1995)}
{title: Assassins, year: (1995)}
{title: Powder, year: (1995)}
{title: Leaving Las Vegas, year: (1995)}
{title: Othello, year: (1995)}
{title: Now and Then, year: (1995)}
{title: Persuasion, year: (1995)}
{title: City of Lost Children, The (Cité des enfants perdus, La), year: (1995)}
{title: Shanghai Triad (Yao a yao yao dao waipo qiao), year: (1995)}
{title: Dangerous Minds, year: (1995)}
{title: 12 Monkeys (Twelve Monkeys), year: (1995)}
{title: Wings of Courage, year: (1995)}
{title: Babe, year: (1995)}
{title: Carrington, year: (1995)}
{title: Dead Man Walking, year: (1995)}
{title: Across the Sea of Time, year: (1995)}
{title: It Takes Two, year: (1995)}
{title: Clueless, year: (1995)}
{title: Cry, the Beloved Country, year: (1995)}
{title: Richard III, year: (1995)}
{title: Dead Presidents, year: (1995)}
{title: Restoration, year: (1995)}
{title: Mortal Kombat, year: (1995)}
{title: To Die For, year: (1995)}
{title: How to Make an American Quilt, year: (1995)}
{title: Seven (a.k.a. Se7en), year: (1995)}
{title: Pocahontas, year: (1995)}
{title: When Night Is Falling, year: (1995)}
{title: Usual Suspects, The, year: (1995)}
{title: Guardian Angel, year: (1994)}
{title: Mighty Aphrodite, year: (1995)}
{title: Lamerica, year: (1994)}
{title: Big Green, The, year: (1995)}
{title: Georgia, year: (1995)}
{title: Kids of the Round Table, year: (1995)}
{title: Home for the Holidays, year: (1995)}
{title: Postman, The (Postino, Il), year: (1994)}
{title: Confessional, The (Confessionnal, Le), year: (1995)}
{title: Indian in the Cupboard, The, year: (1995)}
{title: Eye for an Eye, year: (1996)}
{title: Mr. Holland's Opus, year: (1995)}
{title: Don't Be a Menace to South Central While Drinking Your Juice in the Hood, year: (1996)}
{title: Two if by Sea, year: (1996)}
{title: Bio-Dome, year: (1996)}
{title: Lawnmower Man 2: Beyond Cyberspace, year: (1996)}
{title: Two Bits, year: (1995)}
{title: French Twist (Gazon maudit), year: (1995)}
{title: Friday, year: (1995)}
{title: From Dusk Till Dawn, year: (1996)}
{title: Fair Game, year: (1995)}
{title: Kicking and Screaming, year: (1995)}
{title: Misérables, Les, year: (1995)}
{title: Bed of Roses, year: (1996)}
{title: Big Bully, year: (1996)}
{title: Screamers, year: (1995)}
{title: Nico Icon, year: (1995)}
{title: Crossing Guard, The, year: (1995)}
{title: Juror, The, year: (1996)}
{title: White Balloon, The (Badkonake sefid), year: (1995)}
